         JobID        JobName     Elapsed     TotalCPU Alloc   MaxRSS      State 
-------------- -------------- ----------- ------------ ----- -------- ---------- 
245452         sum_kernel.sl     00:08:31    07:29.752    80          COMPLETED  
245452.batch   batch             00:08:31    00:00.160    80   13112K COMPLETED  
245452.extern  extern            00:08:31     00:00:00    80     748K COMPLETED  
245452.0       python            00:08:30    07:29.592     1  213832K COMPLETED  
245453         FWT_emod3d_sh+    00:02:02     09:49:39   320          COMPLETED  
245453.batch   batch             00:02:02    00:29.620    80   22140K COMPLETED  
245453.extern  extern            00:02:02     00:00:00   320    1348K COMPLETED  
245453.0       emod3d-mpi        00:00:42     03:16:50   320   15664K COMPLETED  
245453.1       merge_P3-mpi      00:01:16     06:32:19   320  146156K COMPLETED  
245454         FWT_emod3d_sh+    00:01:40     07:55:12   320          COMPLETED  
245454.batch   batch             00:01:40    00:29.604    80   13200K COMPLETED  
245454.extern  extern            00:01:41     00:00:00   320    2876K COMPLETED  
245454.0       emod3d-mpi        00:00:41     03:06:23   320   15844K COMPLETED  
245454.1       merge_P3-mpi      00:00:57     04:48:19   320  142972K COMPLETED  
245455         FWT_emod3d_sh+    00:01:43     08:15:27   320          COMPLETED  
245455.batch   batch             00:01:43    00:29.640    80   13196K COMPLETED  
245455.extern  extern            00:01:44     00:00:00   320    1348K COMPLETED  
245455.0       emod3d-mpi        00:00:43     03:20:26   320   15656K COMPLETED  
245455.1       merge_P3-mpi      00:00:57     04:54:30   320  144824K COMPLETED  
245456         FWT_emod3d_sh+    00:01:30     07:01:31   320          COMPLETED  
245456.batch   batch             00:01:30    00:29.668    80   13224K COMPLETED  
245456.extern  extern            00:01:30     00:00:00   320    1352K COMPLETED  
245456.0       emod3d-mpi        00:00:32     02:25:12   320  152404K COMPLETED  
245456.1       merge_P3-mpi      00:00:54     04:35:48   320  144568K COMPLETED  
245458         adj_test.sl       00:00:06    01:03.288    80          COMPLETED  
245458.batch   batch             00:00:06    00:00.160    80    3748K COMPLETED  
245458.extern  extern            00:00:06     00:00:00    80    1348K COMPLETED  
245458.0       python            00:00:05    01:03.128     1    3728K COMPLETED  
245459         adj_test.sl       00:00:05    01:04.008    80          COMPLETED  
245459.batch   batch             00:00:05    00:00.160    80    3744K COMPLETED  
245459.extern  extern            00:00:06     00:00:00    80       4K COMPLETED  
245459.0       python            00:00:05    01:03.848     1    3724K COMPLETED  
245460         FWT_emod3d_sh+    00:02:16     11:09:08   320          COMPLETED  
245460.batch   batch             00:02:16    00:00.752    80   13284K COMPLETED  
245460.extern  extern            00:02:16     00:00:00   320    1348K COMPLETED  
245460.0       emod3d-mpi        00:00:50     03:58:41   320   15768K COMPLETED  
245460.1       merge_P3-mpi      00:01:24     07:10:25   320  147224K COMPLETED  
245461         adj_test.sl       00:00:06    01:06.392    80          COMPLETED  
245461.batch   batch             00:00:06    00:00.160    80    3748K COMPLETED  
245461.extern  extern            00:00:06     00:00:00    80       4K COMPLETED  
